# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = exp2d_pixelated_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 1724050829
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,bgdens,objdens
# Adaptation terminated
# Step size = 0.129627
# Diagonal elements of inverse mass matrix:
# 0.0162525, 1.16222, 0.122176, 0.101495, 1.16079, 0.445415, 0.0225654, 0.0644644
-527.249,0.944207,0.129627,5,31,0,529.089,1.47652,0.0432591,0.108189,0.625949,0.892234,0.451573,0.00192053,0.658084
-525.402,0.996875,0.129627,5,31,0,529.331,1.43793,0.178685,0.327006,0.793109,0.91457,0.404429,0.0018776,0.76223
-525.412,0.977827,0.129627,5,31,0,528.474,2.16895,0.395199,-0.186165,0.630311,0.900054,0.435779,0.00183326,0.494877
-527.397,0.717176,0.129627,4,31,0,534.311,2.15512,0.435402,-0.442006,1.02519,0.759919,0.650017,0.00201486,0.49153
-527.397,0.423978,0.129627,3,7,0,529.916,2.15512,0.435402,-0.442006,1.02519,0.759919,0.650017,0.00201486,0.49153
-525.161,0.923897,0.129627,4,31,0,530.968,1.72823,0.151737,0.208122,0.808844,0.749252,0.662285,0.00228992,0.493506
-525.466,0.988511,0.129627,4,31,0,526.864,2.23852,0.411353,0.248539,0.822569,0.935295,0.353869,0.00200023,0.478664
-526.771,0.934568,0.129627,4,31,0,531.481,2.32729,0.493787,0.0426993,0.852129,0.820908,0.57106,0.00218319,0.443861
-527.898,0.996429,0.129627,4,15,0,529.403,2.24011,0.435293,0.11494,0.589554,0.767963,0.640495,0.00257409,0.39184
-524.512,0.99449,0.129627,4,15,0,528.971,1.89847,0.284157,0.161085,0.97574,0.87906,0.476711,0.00227145,0.48229
-527.943,0.884096,0.129627,5,63,0,529.74,1.69781,0.26391,0.460261,0.83699,0.964047,0.265732,0.00183234,0.710103
-528.53,0.953832,0.129627,4,23,0,533.089,1.8488,0.223458,-0.0370189,0.616545,0.912876,0.408236,0.00201903,0.467496
-527.393,0.992693,0.129627,4,23,0,531.796,2.09674,0.373562,0.680369,1.02092,0.737552,0.675291,0.00190138,0.433073
-528.757,0.856206,0.129627,4,31,0,530.91,2.11907,0.365535,0.718234,1.04182,0.773791,0.633441,0.00205627,0.377254
-527.854,0.642022,0.129627,5,31,0,532.299,2.22578,0.3036,0.858081,1.27203,0.958559,0.284894,0.00212786,0.400659
-528.24,0.991456,0.129627,5,31,0,532.402,2.23376,0.286434,-0.0983847,0.516253,0.669621,0.742703,0.00162362,0.374881
-528.232,0.98062,0.129627,4,15,0,530.884,2.06603,0.286966,-0.0331923,0.479294,0.75169,0.659516,0.00170261,0.330211
-532.368,0.873983,0.129627,4,15,0,535.212,2.22754,0.140478,0.234081,0.64825,0.0680833,0.99768,0.00155548,0.358083
-527.788,0.982639,0.129627,5,31,0,535.633,2.05132,0.282496,0.191119,0.848593,0.99856,0.0536389,0.00266087,0.514419
