# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = regression1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = regr1.data.R
# init = 2 (Default)
# random
#   seed = 2172945814
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.277341
# Diagonal elements of inverse mass matrix:
# 0.000980401, 3.72461e-05, 0.87569
32.8879,0.791246,0.277341,3,15,0,-29.0319,5.02214,9.99731,2.83301e-05
33.0169,0.9917,0.277341,4,15,0,-32.3633,5.00873,10.0001,2.16045e-05
33.4309,0.950561,0.277341,2,5,0,-32.653,4.99793,9.99973,4.12914e-05
32.9717,0.995184,0.277341,3,7,0,-32.8452,5.00842,9.99766,3.16812e-05
33.2116,0.871732,0.277341,4,15,0,-30.9165,4.98285,10.0057,0.000108758
38.6241,0.988694,0.277341,4,15,0,-29.985,5.04,9.9947,0.0339625
39.2031,0.982013,0.277341,3,15,0,-38.1253,5.00948,9.99662,0.032544
39.0702,0.869674,0.277341,1,3,0,-38.1782,5.0182,9.99821,0.0411017
37.2765,0.915944,0.277341,3,15,0,-36.8117,4.96916,10.0089,0.0346154
39.2849,0.999658,0.277341,3,11,0,-37.0213,5.01022,9.99908,0.0395124
39.1968,0.987548,0.277341,4,15,0,-38.6367,5.02375,9.99567,0.0221457
39.2958,0.999933,0.277341,3,7,0,-39.1495,5.02375,9.99709,0.0208405
39.4615,0.979542,0.277341,2,7,0,-38.597,4.99706,9.99974,0.0357651
39.6112,0.990986,0.277341,4,15,0,-38.8095,4.99234,10.0013,0.0269338
39.5757,0.982315,0.277341,2,7,0,-39.0642,4.99901,10.0005,0.0166632
37.9558,0.808623,0.277341,3,7,0,-37.1895,4.97693,10.0016,0.0673457
37.7149,0.920626,0.277341,2,7,0,-35.7978,4.99467,10.002,0.0722052
39.005,1,0.277341,2,3,0,-37.5383,4.99316,9.99889,0.0421624
39.5001,1,0.277341,3,7,0,-38.6587,5.01406,9.99775,0.0183267
39.0864,0.976065,0.277341,4,15,0,-38.9296,4.98733,10.0018,0.0139026
39.3642,0.954168,0.277341,3,15,0,-36.2836,5.00117,9.99894,0.017097
38.2767,0.820206,0.277341,3,15,0,-37.6692,5.03242,9.9975,0.0181669
38.5414,0.604178,0.277341,2,7,0,-35.2885,4.99762,9.99763,0.0526496
38.6128,0.996907,0.277341,3,15,0,-37.29,4.97141,10.0063,0.0298896
39.245,0.982298,0.277341,3,15,0,-37.4751,5.02354,9.99772,0.02325
38.4018,0.963247,0.277341,3,15,0,-37.1823,4.96456,10.007,0.0294508
39.0854,0.942067,0.277341,4,15,0,-37.7166,5.01364,10.0004,0.0250416
39.2052,0.988598,0.277341,4,15,0,-38.5153,4.98496,10.0039,0.0233109
36.0835,0.814348,0.277341,3,11,0,-34.5046,4.93893,10.0092,0.0230275
36.5707,0.88775,0.277341,2,3,0,-35.377,4.95131,10.0106,0.0258689
37.5705,0.98878,0.277341,3,7,0,-36.2244,4.94204,10.0072,0.0421375
37.2655,0.952326,0.277341,2,3,0,-36.7408,4.93983,10.0061,0.0549071
36.7492,0.955879,0.277341,4,15,0,-33.7637,4.95679,10.0108,0.0563518
35.9793,0.950684,0.277341,2,3,0,-35.8036,4.96247,10.0115,0.049687
35.7691,0.987179,0.277341,3,7,0,-34.7055,4.95601,10.0117,0.0844819
39.1413,0.941126,0.277341,3,11,0,-34.1631,4.98969,9.99965,0.0367769
38.7109,0.932995,0.277341,4,15,0,-37.2823,5.02133,9.99557,0.0139706
