# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-41.5437,0.997023,0.407717,3,15,0,42.4391,5.16519,9.95623,0.997619
-40.4339,0.502516,0.694343,3,7,0,42.4506,5.26078,9.98519,0.911319
-39.8877,0.985512,0.329293,2,7,0,41.1025,5.20423,9.98268,0.872899
-41.4105,0.962051,0.540963,2,3,0,41.5838,5.03817,9.99484,0.815801
-41.4105,0.000577879,0.831182,2,6,1,47.894,5.03817,9.99484,0.815801
-40.7231,0.998713,0.113477,5,31,0,42.6886,5.28207,9.97112,0.820707
-40.0025,0.99548,0.191994,2,7,0,42.2225,5.27334,9.97226,0.860832
-40.7714,0.966486,0.319757,4,15,0,41.525,5.29044,9.97681,0.977928
-40.008,0.949098,0.492253,2,7,0,41.7209,5.33808,9.94246,0.903335
-40.6173,0.868911,0.72183,2,3,0,40.885,5.39236,9.93243,0.956513
-40.6173,0.001617,0.866879,3,7,0,42.3682,5.39236,9.93243,0.956513
-39.9983,0.999328,0.128912,4,31,0,40.9843,5.33849,9.96245,0.922141
-40.7929,0.989601,0.213349,4,19,0,42.834,5.0477,9.99795,0.979255
-40.1919,0.994071,0.342646,3,7,0,40.9276,5.10197,9.99509,0.945437
-42.4189,0.911478,0.276278,2,7,0,44.1259,5.01374,9.97891,1.01361
-42.4189,0,3.38355,0,1,1,43.5159,5.01374,9.97891,1.01361
-42.0746,0.988814,0.545188,3,7,0,42.7488,5.15915,9.95793,0.810357
-43.0985,0.846598,0.729548,3,7,0,44.7636,5.52963,9.91476,1.05557
-42.3343,0.896289,0.757023,3,7,0,44.0854,5.60038,9.91902,0.989088
-40.5726,0.226812,0.95352,3,7,0,43.6484,5.22771,9.99133,0.928787
-40.7818,0.999264,0.160202,5,31,0,42.0591,5.48476,9.93828,0.886856
-41.1808,0.999418,0.284133,3,15,0,42.1531,5.53918,9.92081,0.890133
-42.2978,0.871669,0.52019,3,7,0,43.0486,5.46617,9.9102,1.00075
-41.0389,1,0.647062,2,3,0,42.4993,5.45318,9.91985,0.94684
-41.0389,0.0110005,1.21547,3,7,0,41.7805,5.45318,9.91985,0.94684
-43.3051,0.990506,0.100646,5,63,0,45.4811,5.01598,9.97037,0.837604
-40.1713,0.997109,0.185215,3,7,0,44.4693,5.05591,9.99573,0.887259
-41.0406,0.964787,0.34774,4,15,0,41.3425,5.09468,10.0066,0.978903
-40.4222,1,0.587953,2,3,0,41.2494,5.04085,9.98921,0.887981
-40.4222,0.325622,1.10332,2,7,0,41.211,5.04085,9.98921,0.887981
-40.7922,0.997246,0.257963,3,7,0,40.9922,5.07387,10.0093,0.86478
-42.177,0.969856,0.47952,3,7,0,42.5589,4.94354,10.0304,0.990775
-42.9886,0.847209,0.813309,3,7,0,43.7638,5.44697,9.91092,0.819978
-42.9886,0.0157975,0.946567,2,3,0,47.5174,5.44697,9.91092,0.819978
-40.4157,0.999597,0.0921675,5,31,0,44.3358,5.42608,9.93591,0.866863
-39.7165,0.998953,0.171082,5,31,0,41.0564,5.25268,9.96588,0.86959
-39.8297,0.986229,0.313842,2,7,0,40.1648,5.22758,9.96093,0.923659
-39.9101,0.939764,0.549322,2,7,0,40.4312,5.30691,9.96721,0.921839
-39.9101,0.58696,0.833171,1,3,0,41.0549,5.30691,9.96721,0.921839
-40.5527,0.868806,0.457963,2,7,0,41.7278,5.13021,9.96593,0.881331
-39.9073,0.94176,0.56511,2,7,0,41.2778,5.15348,9.99083,0.899066
-41.624,0.855113,0.852917,2,7,0,42.6504,5.58057,9.91912,0.892256
-41.624,0.0038477,1.00433,2,7,0,45.5051,5.58057,9.91912,0.892256
