# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=output.csv
# append_samples=0
#
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
# Stepsize adaptation complete.
# eta = 1
0,0.264506,0.297882,0.437611,-10.0009,-1.64961,-7.05347,-3.97656,4.45201,-8.16568,0.681309,0.573999,0.7323,0.738724,0.667711,0.882034
0,0.259589,0.304967,0.435444,-9.98005,-1.6506,-7.03273,-3.99056,4.44983,-8.15233,0.695563,0.585686,0.741699,0.741175,0.670949,0.866728
0,0.257556,0.302928,0.439516,-9.99089,-1.64831,-7.05377,-3.97191,4.46023,-8.16444,0.701373,0.56785,0.733557,0.744037,0.663501,0.873818
0,0.255804,0.305427,0.438769,-10.0021,-1.6453,-7.05399,-3.96286,4.43964,-8.14527,0.700089,0.571816,0.72496,0.752016,0.664189,0.873008
0,0.251031,0.310168,0.438801,-9.98775,-1.61273,-7.05044,-4.00386,4.44592,-8.14819,0.70675,0.575242,0.725706,0.74345,0.658528,0.889363
0,0.25868,0.302966,0.438355,-9.98644,-1.63821,-7.03665,-3.97834,4.43266,-8.13645,0.689211,0.562819,0.718792,0.741979,0.668701,0.874465
0,0.247866,0.30951,0.442624,-9.96974,-1.64271,-7.06992,-3.97129,4.45271,-8.15654,0.688258,0.562007,0.730788,0.737697,0.660205,0.888783
0,0.252956,0.299021,0.448023,-9.99127,-1.62668,-7.05281,-3.97985,4.45221,-8.14174,0.690769,0.568339,0.733173,0.755533,0.674263,0.878957
0,0.264655,0.296734,0.438611,-9.97825,-1.64619,-7.0302,-3.95197,4.429,-8.16077,0.705202,0.567573,0.709322,0.752255,0.662822,0.874193
0,0.260401,0.300462,0.439137,-10.0041,-1.6251,-7.03431,-3.94923,4.44679,-8.16659,0.701194,0.56309,0.71682,0.747434,0.669127,0.874349
0,0.256241,0.306769,0.43699,-9.98282,-1.64369,-7.03388,-3.96713,4.45626,-8.13876,0.689153,0.571871,0.746387,0.745914,0.673873,0.873584
0,0.258626,0.307266,0.434108,-10.0026,-1.64231,-7.04545,-3.96788,4.43672,-8.15562,0.701563,0.568231,0.712949,0.764346,0.661889,0.864718
0,0.259725,0.303991,0.436285,-9.97287,-1.63561,-7.02775,-3.96722,4.43704,-8.18415,0.707679,0.5718,0.725962,0.740724,0.679449,0.867301
0,0.260875,0.303228,0.435897,-9.96479,-1.63138,-7.02943,-3.97117,4.44179,-8.15299,0.692465,0.571561,0.745828,0.738631,0.675527,0.882354
0,0.256577,0.313729,0.429695,-9.99766,-1.62583,-7.03796,-3.98553,4.42942,-8.13361,0.70642,0.565641,0.714204,0.740415,0.683062,0.850176
0,0.257017,0.309695,0.433288,-9.99395,-1.66469,-7.05453,-3.98249,4.44436,-8.1651,0.685579,0.554014,0.722993,0.742675,0.660768,0.867482
0,0.252924,0.313198,0.433878,-10.0128,-1.65123,-7.03865,-3.94696,4.43503,-8.14062,0.708696,0.570619,0.715384,0.750073,0.669502,0.875661
0,0.256146,0.29706,0.446794,-9.97163,-1.62291,-7.05101,-3.97129,4.46914,-8.1696,0.702058,0.56892,0.720747,0.734295,0.664148,0.865545
0,0.254316,0.299312,0.446372,-10.0048,-1.65065,-7.06686,-3.97228,4.43776,-8.15391,0.692691,0.565291,0.735234,0.728995,0.664952,0.87979
0,0.255553,0.30545,0.438997,-9.98348,-1.64474,-7.04456,-3.94808,4.43838,-8.14611,0.709706,0.56322,0.744232,0.737882,0.668287,0.856832
0,0.249985,0.293079,0.456936,-9.96363,-1.65548,-7.04897,-3.96696,4.42053,-8.16701,0.696416,0.570089,0.726325,0.736805,0.663856,0.883902
0,0.259567,0.298319,0.442114,-10.0048,-1.65555,-7.032,-3.98649,4.43435,-8.16416,0.703638,0.575136,0.727359,0.740295,0.661974,0.897782
0,0.26046,0.300967,0.438573,-9.95959,-1.63006,-7.04548,-3.98216,4.41301,-8.15271,0.688158,0.563544,0.747436,0.742778,0.679054,0.850557
0,0.253535,0.29985,0.446615,-9.9785,-1.62384,-7.03839,-3.96011,4.44434,-8.14177,0.703938,0.567768,0.717532,0.74122,0.650837,0.861077
0,0.24862,0.311621,0.439758,-9.98135,-1.6403,-7.04662,-3.96972,4.46632,-8.14034,0.687574,0.564073,0.724755,0.743301,0.677118,0.877755
0,0.260698,0.303885,0.435417,-9.99066,-1.64456,-7.03521,-3.98749,4.43733,-8.15089,0.695357,0.570296,0.718658,0.753951,0.679773,0.891084
0,0.257867,0.303294,0.438839,-9.98797,-1.61557,-7.02437,-3.97055,4.44442,-8.15668,0.692854,0.5786,0.716978,0.73862,0.653225,0.883014
0,0.258347,0.298496,0.443157,-9.98999,-1.64425,-7.03823,-3.99551,4.45492,-8.16261,0.683203,0.55803,0.721898,0.734691,0.667999,0.885064
0,0.268902,0.305208,0.42589,-10.0066,-1.63967,-7.05058,-4.01626,4.454,-8.15255,0.705671,0.575825,0.744175,0.741649,0.670937,0.885433
0,0.257487,0.297598,0.444915,-9.99776,-1.65905,-7.03508,-3.9623,4.43336,-8.16726,0.686655,0.564859,0.713129,0.745734,0.650109,0.872579
0,0.261792,0.30252,0.435688,-9.97383,-1.63594,-7.06203,-3.95885,4.44519,-8.15651,0.69111,0.571889,0.726588,0.738782,0.677309,0.891331
