# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = mixtures_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = mixtures.data.R
# init = 2 (Default)
# random
#   seed = 1979823306
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,sigma_outl,objfrac
# Adaptation terminated
# Step size = 0.277107
# Diagonal elements of inverse mass matrix:
# 0.000204157, 1.49667e-05, 0.00833937, 0.00254537, 0.017493
-323.089,0.97536,0.277107,4,15,0,326.102,5.02292,9.99574,102.731,0.104008,0.179957
-324.89,0.978508,0.277107,4,15,0,325.968,4.99998,9.99944,91.0907,0.095069,0.224
-326.455,0.874941,0.277107,3,7,0,328.906,4.99746,9.99956,87.6637,0.0944602,0.239392
-324.184,0.976253,0.277107,4,15,0,328.106,5.0011,9.99887,100.811,0.110692,0.185955
-323.527,0.938654,0.277107,4,15,0,326.661,5.02653,9.9946,96.0697,0.0996813,0.229363
-324.394,0.944285,0.277107,4,15,0,326.141,5.03411,9.99474,93.8332,0.107184,0.241904
-325.607,0.995085,0.277107,4,15,0,327.778,4.98245,10.0018,100.674,0.100338,0.21825
-325.471,0.999426,0.277107,4,15,0,328.911,5.01416,9.99771,93.3097,0.113808,0.171856
-325.016,0.936149,0.277107,4,15,0,329.007,4.99458,10.0005,92.7694,0.0958559,0.22031
-330.142,0.336855,0.277107,2,3,0,331.321,4.98979,9.99799,90.7122,0.0943029,0.217288
-324.242,0.87204,0.277107,3,7,0,331.488,5.0079,9.99962,93.2346,0.0968212,0.205369
-324.123,0.998147,0.277107,4,15,0,325.283,5.01203,9.99714,105.796,0.112521,0.205736
-324.831,0.971528,0.277107,3,7,0,326.114,5.01154,9.99833,106.389,0.114316,0.211941
-322.776,0.93687,0.277107,3,7,0,328.355,5.01988,9.99615,97.661,0.103224,0.23302
-323.687,0.959626,0.277107,3,7,0,324.258,5.01781,9.99627,93.2026,0.0966894,0.2276
-323.398,0.788797,0.277107,3,7,0,324.953,5.01338,9.99669,93.6779,0.0984761,0.229749
